x,kde,ekf_gaussian
-30.906059370986323,2.7118504828904499e-10,7.0997223970125645e-15
-30.873845276495192,2.8896327921296503e-10,8.0695675761754331e-15
-30.841631182004065,3.0787329370154149e-10,9.1694648779702361e-15
-30.809417087512934,3.2798488075031942e-10,1.0416517637320519e-14
-30.777202993021806,3.4937198487670739e-10,1.1830032816601165e-14
-30.744988898530675,3.7211294415053158e-10,1.3431798834244572e-14
-30.712774804039547,3.9629074127786989e-10,1.5246397623887557e-14
-30.680560709548416,4.219932684192991e-10,1.7301555039143578e-14
-30.648346615057289,4.4931360645694594e-10,1.9628534200900099e-14
-30.616132520566158,4.783503194600504e-10,2.2262576920713254e-14
-30.58391842607503,5.0920776513513703e-10,2.5243398931395836e-14
-30.551704331583899,5.4199642208546363e-10,2.8615745321029013e-14
-30.519490237092771,5.7683323474420174e-10,3.2430013306703451e-14
-30.48727614260164,6.1384197688793545e-10,3.6742950307586903e-14
-30.455062048110513,6.5315363468052147e-10,4.1618436192380469e-14
-30.422847953619382,6.949068102433833e-10,4.7128359593976008e-14
-30.390633859128254,7.3924814679564793e-10,5.3353599315095661e-14
-30.358419764637123,7.8633277645786051e-10,6.0385123105218012e-14
-30.326205670145995,8.3632479186458763e-10,6.8325217484509565e-14
-30.293991575654864,8.8939774278603955e-10,7.7288863839793275e-14
-30.261777481163733,9.4573515901523758e-10,8.7405277737057219e-14
-30.229563386672606,1.005531100836655e-09,9.8819630302887744e-14
-30.197349292181475,1.0689907384540977e-09,1.1169497264326125e-13
-30.165135197690347,1.1363309618198682e-09,1.2621438661448062e-13
-30.132921103199216,1.2077810223748522e-09,1.4258338786184426e-13
-30.100707008708088,1.2835832082789176e-09,1.6103260992344757e-13
-30.068492914216957,1.3639935547846907e-09,1.8182080138893955e-13
-30.03627881972583,1.4492825914834578e-09,2.0523817163802265e-13
-30.004064725234699,1.5397361282321145e-09,2.3161012459691392e-13
-29.971850630743571,1.635656081652271e-09,2.613014242815458e-13
-29.93963653625244,1.7373613441797447e-09,2.9472084068731376e-13
-29.907422441761312,1.8451886977318932e-09,3.3232632988342837e-13
-29.875208347270181,1.9594937741547101e-09,3.7463080802773034e-13
-29.842994252779054,2.0806520647084753e-09,4.2220858549151441e-13
-29.810780158287923,2.2090599809533237e-09,4.7570253443657985e-13
-29.778566063796795,2.3451359695008942e-09,5.3583207108629665e-13
-29.746351969305664,2.4893216832095405e-09,6.0340204265476844e-13
-29.714137874814533,2.6420832115140222e-09,6.7931261852496705e-13
-29.681923780323405,2.8039123727012295e-09,7.64570295889019e-13
-29.649709685832274,2.9753280710666049e-09,8.6030014178020141e-13
-29.617495591341147,3.1568777220152855e-09,9.6775940634502113e-13
-29.585281496850016,3.3491387483070647e-09,1.0883526564445664e-12
-29.553067402358888,3.5527201507825337e-09,1.2236485943654486e-12
-29.520853307867757,3.7682641570543138e-09,1.3753987437064709e-12
-29.488639213376629,3.9964479517972794e-09,1.545558203540544e-12
-29.456425118885498,4.2379854924287612e-09,1.736308692905205e-12
-29.424211024394371,4.4936294141328412e-09,1.9500841307317114e-12
-29.39199692990324,4.7641730283518895e-09,2.1895990216891043e-12
-29.359782835412112,5.0504524190441991e-09,2.4578799463127039e-12
-29.327568740920981,5.3533486411897848e-09,2.7583004844531379e-12
-29.295354646429853,5.6737900262144613e-09,3.0946199347808695e-12
-29.263140551938722,6.0127545992014119e-09,3.4710262301061042e-12
-29.230926457447595,6.3712726129610976e-09,3.8921834889318122e-12
-29.198712362956464,6.7504292042440979e-09,4.3632846882984763e-12
-29.166498268465332,7.1513671775999774e-09,4.8901099919674438e-12
-29.134284173974205,7.5752899226147802e-09,5.4790913217399711e-12
-29.102070079483077,8.0234644704944602e-09,6.1373838186553345e-12
-29.069855984991946,8.497224696207685e-09,6.8729449054394484e-12
-29.037641890500815,8.9979746726552097e-09,7.6946217324093584e-12
-29.005427796009688,9.5271921835969323e-09,8.6122478666422892e-12
-28.973213701518556,1.0086432402339678e-08,9.6367501692162665e-12
-28.940999607027429,1.0677331743471546e-08,1.078026689838675e-11
-28.908785512536298,1.13016118952234e-08,1.2056278178421504e-11
-28.87657141804517,1.1961084040336793e-08,1.3479750085249757e-11
-28.844357323554039,1.2657653273638123e-08,1.5067293721974881e-11
-28.812143229062912,1.3393323224836207e-08,1.6837340790555055e-11
-28.77992913457178,1.4170200895403768e-08,1.8810337311624423e-11
-28.747715040080653,1.4990501718745365e-08,2.1008957303557907e-11
-28.715500945589522,1.5856554853219707e-08,2.3458338405718095e-11
-28.683286851098394,1.6770808717950311e-08,2.6186341620593566e-11
-28.651072756607263,1.7735836781751074e-08,2.9223837556693653e-11
-28.618858662116132,1.8754343615881981e-08,3.2605021780061548e-11
-28.586644567625004,1.9829171221771113e-08,3.6367762128785333e-11
-28.554430473133877,2.096330564525731e-08,4.0553981113651387e-11
-28.522216378642746,2.2159883889348325e-08,4.5210076821021067e-11
-28.490002284151615,2.3422201137945087e-08,5.0387386053191749e-11
-28.457788189660487,2.4753718303449283e-08,5.6142693789122902e-11
-28.425574095169356,2.6158069911655613e-08,6.2538793426903164e-11
-28.393360000678229,2.7639072337826885e-08,6.9645102681262517e-11
-28.361145906187097,2.9200732408370309e-08,7.7538340457642698e-11
-28.32893181169597,3.0847256383057548e-08,8.6303270511771025e-11
-28.296717717204839,3.2583059333289423e-08,9.6033518233683582e-11
-28.264503622713711,3.4412774932456457e-08,1.0683246747109165e-10
-28.23228952822258,3.6341265675048191e-08,1.1881424493281811e-10
-28.200075433731453,3.8373633541745156e-08,1.3210480039258053e-10
-28.167861339240321,4.0515231128363879e-08,1.4684309165131006e-10
-28.135647244749194,4.2771673257150387e-08,1.6318238401685544e-10
-28.103433150258063,4.5148849089581924e-08,1.8129167492870992e-10
-28.071219055766935,4.7652934760508461e-08,2.0135725529737147e-10
-28.039004961275804,5.0290406554169399e-08,2.2358442014933137e-10
-28.006790866784677,5.3068054643323707e-08,2.4819934227532611e-10
-27.974576772293545,5.5992997413489906e-08,2.7545112377849227e-10
-27.942362677802414,5.9072696395029304e-08,3.0561404171720493e-10
-27.910148583311287,6.2314971826600329e-08,3.3899000544287582e-10
-27.877934488820156,6.5728018874315962e-08,3.7591124475356156e-10
-27.845720394329028,6.9320424531744339e-08,4.1674324962916077e-10
-27.813506299837897,7.3101185226765447e-08,4.6188798409261111e-10
-27.781292205346769,7.707972516213961e-08,5.1178739866380961e-10
-27.749078110855638,8.1265915417570015e-08,5.6692726795018488e-10
-27.716864016364511,8.5670093841921519e-08,6.2784138216103874e-10
-27.68464992187338,9.0303085765245049e-08,6.9511612375507599e-10
-27.652435827382252,9.5176225561183812e-08,7.6939546304417281e-10
-27.620221732891121,1.003013790913604e-07,8.5138640939680328e-10
-27.588007638399993,1.0569096706434162e-07,9.4186495772528771e-10
-27.555793543908862,1.1135798934284184e-07,1.041682573219848e-09
-27.523579449417735,1.1731605023387379e-07,1.1517732608246164e-09
-27.491365354926604,1.2357938479768051e-07,1.2731612697567562e-09
-27.459151260435476,1.3016288621236689e-07,1.4069694874665153e-09
-27.426937165944345,1.3708213423235841e-07,1.5544285818471909e-09
-27.394723071453214,1.4435342477992271e-07,1.7168869552479449e-09
-27.362508976962086,1.5199380071026049e-07,1.8958215789468036e-09
-27.330294882470959,1.6002108379186761e-07,2.0928497822267956e-09
-27.298080787979828,1.6845390794514738e-07,2.3097420760944639e-09
-27.265866693488697,1.7731175378353578e-07,2.548436098013663e-09
-27.233652598997569,1.8661498450274259e-07,2.8110517708285955e-09
-27.201438504506438,1.9638488316502663e-07,3.0999077763501668e-09
-27.16922441001531,2.0664369142684145e-07,3.4175394519115883e-09
-27.137010315524179,2.1741464975955664e-07,3.7667182266012784e-09
-27.104796221033052,2.2872203921442193e-07,4.1504727228845159e-09
-27.072582126541921,2.4059122478442033e-07,4.5721116589794173e-09
-27.040368032050793,2.5304870041708765e-07,5.0352486976880285e-09
-27.008153937559662,2.6612213573400849e-07,5.5438293984560758e-09
-26.975939843068534,2.7984042451412941e-07,6.1021604412807831e-09
-26.943725748577403,2.9423373499973774e-07,6.7149413037648087e-09
-26.911511654086276,3.0933356208545269e-07,7.3872985861686521e-09
-26.879297559595145,3.2517278145233356e-07,8.1248231938081394e-09
-26.847083465104014,3.4178570571076883e-07,8.9336106016258126e-09
-26.814869370612886,3.5920814261761607e-07,9.8203044423076834e-09
-26.782655276121758,3.7747745543472811e-07,1.0792143676973185e-08
-26.750441181630627,3.9663262549775602e-07,1.1857013626309855e-08
-26.718227087139496,4.1671431706596975e-07,1.3023501160128471e-08
-26.686012992648369,4.3776494452560143e-07,1.4300954364747474e-08
-26.653798898157241,4.5982874202105613e-07,1.5699547030459175e-08
-26.62158480366611,4.8295183559025486e-07,1.7230348325667546e-08
-26.589370709174979,5.0718231788219774e-07,1.8905398050203855e-08
-26.557156614683851,5.3257032553684082e-07,2.0737787887911742e-08
-26.52494252019272,5.5916811930929784e-07,2.2741749107940031e-08
-26.492728425701593,5.8703016702228004e-07,2.4932747195392099e-08
-26.460514331210462,6.1621322943283156e-07,2.7327583925160789e-08
-26.428300236719334,6.4677644910131161e-07,2.9944507428019578e-08
-26.396086142228203,6.7878144235268089e-07,3.280333083548702e-08
-26.363872047737075,7.122923944221719e-07,3.5925560129705406e-08
-26.331657953245944,7.4737615787963032e-07,3.933453186675701e-08
-26.299443858754813,7.8410235442866834e-07,4.3055561486536857e-08
-26.267229764263686,8.2254348017922902e-07,4.7116102969722225e-08
-26.235015669772558,8.6277501449402235e-07,5.154592065259051e-08
-26.202801575281427,9.0487553251155282e-07,5.6377274063628808e-08
-26.170587480790296,9.4892682145069556e-07,6.1645116702182258e-08
-26.138373386299168,9.9501400080385033e-07,6.7387309738961988e-08
-26.106159291808041,1.0432256465279877e-06,7.3644851681218874e-08
-26.07394519731691,1.0936539193450116e-06,8.0462125111980323e-08
-26.041731102825779,1.1463946972651889e-06,8.7887161683085816e-08
-26.009517008334651,1.2015477124495377e-06,9.5971926616050984e-08
-25.97730291384352,1.2592166925293337e-06,1.0477262404316381e-07
-25.945088819352392,1.3195095065030116e-06,1.1435002460391698e-07
-25.912874724861261,1.3825383153332794e-06,1.2476981679909209e-07
-25.880660630370134,1.4484197273688935e-06,1.3610298369663995e-07
-25.848446535879003,1.5172749587185949e-06,1.4842620668032806e-07
-25.816232441387875,1.5892299987059998e-06,1.6182229803392258e-07
-25.784018346896744,1.6644157805372943e-06,1.763806642609173e-07
-25.751804252405613,1.7429683573150717e-06,1.9219780215243677e-07
-25.719590157914485,1.8250290835343999e-06,2.0937782973445057e-07
-25.687376063423358,1.9107448021989006e-06,2.2803305434979893e-07
-25.655161968932227,2.0002680376971371e-06,2.4828458026113019e-07
-25.622947874441095,2.0937571945813752e-06,2.7026295829788828e-07
-25.590733779949968,2.1913767623932758e-06,2.9410888021418614e-07
-25.55851968545884,2.2932975266826995e-06,3.1997392057495252e-07
-25.526305590967709,2.3996967863682879e-06,3.4802132914546835e-07
-25.494091496476578,2.5107585775898392e-06,3.7842687692449335e-07
-25.461877401985451,2.6266739042053601e-06,4.1137975913391702e-07
-25.429663307494319,2.7476409750866661e-06,4.4708355865840701e-07
-25.397449213003192,2.8738654483696686e-06,4.857572736171106e-07
-25.365235118512061,3.0055606828175875e-06,5.2763641294665957e-07
-25.333021024020933,3.1429479964562916e-06,5.7297416407999659e-07
-25.300806929529802,3.2862569326435653e-06,6.220426370202279e-07
-25.268592835038675,3.4357255337347674e-06,6.7513418933178729e-07
