x,kde,ekf_gaussian
-27.204486694848388,4.1828309598235933e-15,3.0713841127921416e-09
-27.179616468377105,4.7269133494233193e-15,3.3117650747601239e-09
-27.154746241905823,5.3402037367985228e-15,3.5703950167304509e-09
-27.129876015434537,6.0312991425174825e-15,3.8486141385795198e-09
-27.105005788963254,6.8098378357300141e-15,4.1478575382996264e-09
-27.080135562491972,7.6866220725755526e-15,4.4696616643328473e-09
-27.055265336020689,8.673754885077792e-15,4.8156711869509787e-09
-27.030395109549403,9.7847924785403428e-15,5.1876463144958212e-09
-27.00552488307812,1.1034913962281064e-14,5.5874705817880233e-09
-26.980654656606838,1.244111032255443e-14,6.017159139587068e-09
-26.955784430135555,1.4022394749388438e-14,6.4788675756408359e-09
-26.930914203664273,1.5800036652681614e-14,6.9749012996111411e-09
-26.906043977192986,1.77978219492674e-14,7.5077255259986013e-09
-26.881173750721704,2.0042342473985135e-14,8.0799758911234462e-09
-26.856303524250421,2.256331766652108e-14,8.6944697422574257e-09
-26.831433297779139,2.5393952014513518e-14,9.3542181391393202e-09
-26.806563071307856,2.8571332095073401e-14,1.0062438610362482e-08
-26.78169284483657,3.2136867454561216e-14,1.0822568709488467e-08
-26.756822618365288,3.6136780003629451e-14,1.1638280418230869e-08
-26.731952391894005,4.0622647084929577e-14,1.2513495446670549e-08
-26.707082165422722,4.5652003898528574e-14,1.3452401483210193e-08
-26.682211938951436,5.1289011549466968e-14,1.445946944986429e-08
-26.657341712480154,5.7605197617788246e-14,1.5539471821512783e-08
-26.632471486008871,6.4680276849080801e-14,1.6697502070929598e-08
-26.607601259537589,7.2603060328739133e-14,1.7938995304735989e-08
-26.582731033066306,8.1472462342064734e-14,1.9269750158936511e-08
-26.55786080659502,9.1398615041649518e-14,2.0695952026371444e-08
-26.532990580123737,1.0250410205057588e-13,2.2224197692274516e-08
-26.508120353652455,1.1492532323282447e-13,2.3861521458172279e-08
-26.483250127181172,1.2881400406938916e-13,2.5615422838591589e-08
-26.458379900709886,1.443388643995251e-13,2.7493895919491832e-08
-26.433509674238604,1.6168746273122898e-13,2.950546047198174e-08
-26.408639447767321,1.8106823390466482e-13,3.1659194919762308e-08
-26.383769221296038,2.0271273961849249e-13,3.3964771263828651e-08
-26.358898994824756,2.2687815321506235e-13,3.6432492073311651e-08
-26.33402876835347,2.5385000217997773e-13,3.9073329656925036e-08
-26.309158541882187,2.8394519405968116e-13,4.1898967535326989e-08
-26.284288315410905,3.1751535395407144e-13,4.4921844340827569e-08
-26.259418088939622,3.5495050441679717e-13,4.8155200277252288e-08
-26.234547862468339,3.9668312151351093e-13,5.1613126279468893e-08
-26.209677635997053,4.431926039679768e-13,5.5310616019056085e-08
-26.184807409525771,4.9501019578993234e-13,5.9263620909890751e-08
-26.159937183054488,5.5272440655114697e-13,6.3489108275054761e-08
-26.135066956583206,6.1698697758226173e-13,6.8005122844401029e-08
-26.11019673011192,6.885194468315335e-13,7.2830851760437819e-08
-26.085326503640637,7.6812036998649009e-13,7.7986693278836622e-08
-26.060456277169354,8.5667326074363463e-13,8.3494329358924503e-08
-26.035586050698072,9.5515531885375449e-13,8.9376802348921819e-08
-26.010715824226789,1.0646470208090652e-12,9.5658595980530842e-08
-25.985845597755503,1.1863426548125965e-12,1.0236572089770678e-07
-25.960975371284221,1.3215618890233791e-12,1.0952580495511598e-07
-25.936105144812938,1.4717624700496823e-12,1.1716818853289962e-07
-25.911234918341655,1.6385541573145381e-12,1.2532402512591891e-07
-25.886364691870369,1.823714008299387e-12,1.3402638747771463e-07
-25.861494465399087,2.0292031398358555e-12,1.4331037954193073e-07
-25.836624238927804,2.257185101627763e-12,1.5321325456701082e-07
-25.811754012456522,2.5100460101061287e-12,1.6377453961350055e-07
-25.786883785985239,2.7904166036239415e-12,1.7503616682740566e-07
-25.762013559513953,3.1011963939557691e-12,1.8704261180770342e-07
-25.73714333304267,3.4455801041613207e-12,1.9984103942129437e-07
-25.712273106571388,3.8270865991888659e-12,2.1348145743453282e-07
-25.687402880100105,4.2495905332209379e-12,2.2801687834682122e-07
-25.662532653628823,4.7173569568038298e-12,2.4350348982884088e-07
-25.637662427157537,5.2350791473537166e-12,2.6000083418561208e-07
-25.612792200686254,5.8079199488073333e-12,2.7757199728293405e-07
-25.587921974214971,6.4415569301055612e-12,2.9628380739475224e-07
-25.563051747743689,7.1422316979819206e-12,3.1620704444864892e-07
-25.538181521272403,7.9168037273187804e-12,3.3741666016712756e-07
-25.51331129480112,8.7728091022639436e-12,3.5999200962340859e-07
-25.488441068329838,9.718524593530271e-12,3.8401709475243389e-07
-25.463570841858555,1.0763037531979556e-11,4.0958082038029784e-07
-25.438700615387273,1.1916321975904845e-11,4.3677726335884497e-07
-25.413830388915986,1.3189321709538316e-11,4.6570595541637074e-07
-25.388960162444704,1.4594040653426359e-11,4.9647218036035123e-07
-25.364089935973421,1.6143641313631969e-11,5.2918728629414891e-07
-25.339219709502139,1.7852551946451224e-11,5.6396901353618462e-07
-25.314349483030853,1.973658316871495e-11,6.009418389578315e-07
-25.28947925655957,2.1813054801002213e-11,6.4023733748470481e-07
-25.264609030088288,2.4100933792500728e-11,6.8199456153547121e-07
-25.239738803617005,2.6620984142050454e-11,7.2636043920253448e-07
-25.214868577145722,2.9395929800416226e-11,7.73490192010325e-07
-25.189998350674436,3.2450631614322572e-11,8.2354777311906658e-07
-25.165128124203154,3.5812279453579675e-11,8.76706326875055e-07
-25.140257897731871,3.9510600749074392e-11,9.3314867064277938e-07
-25.115387671260589,4.3578086761802822e-11,9.9306779988916526e-07
-25.090517444789306,4.8050238001917799e-11,1.0566674175265767e-06
-25.06564721831802,5.2965830322258958e-11,1.1241624885583292e-06
-25.040776991846737,5.8367203323503005e-11,1.1957798211086282e-06
-25.015906765375455,6.4300572828300855e-11,1.2717586749583202e-06
-24.991036538904172,7.0816369309987872e-11,1.3523513987478558e-06
-24.966166312432886,7.7969604298206463e-11,1.4378240970505396e-06
-24.941296085961604,8.5820266929433054e-11,1.5284573285613051e-06
-24.916425859490321,9.4433752965605616e-11,1.624546836690199e-06
-24.891555633019038,1.0388132876918629e-10,1.7264043138937324e-06
-24.866685406547752,1.1424063289876458e-10,1.8343582011235563e-06
-24.84181518007647,1.2559621817617857e-10,1.9487545238182238e-06
-24.816944953605187,1.3804013727479572e-10,2.0699577659119674e-06
-24.792074727133905,1.5167257508956275e-10,2.1983517833830589e-06
-24.767204500662622,1.6660253137353961e-10,2.3343407589144513e-06
-24.742334274191336,1.8294855736334915e-10,2.478350199290549e-06
-24.717464047720053,2.0083955036814217e-10,2.6308279772057049e-06
-24.692593821248771,2.2041561056404e-10,2.7922454192139155e-06
-24.667723594777488,2.4182896451913103e-10,2.9630984416023732e-06
-24.642853368306206,2.6524496027407009e-10,3.1439087360277793e-06
-24.61798314183492,2.9084313912063916e-10,3.3352250068098327e-06
-24.593112915363637,3.1881838955629567e-10,3.5376242618337426e-06
-24.568242688892354,3.493821892476547e-10,3.7517131590721808e-06
-24.543372462421072,3.827639412105901e-10,3.9781294107951325e-06
-24.518502235949789,4.1921241081062994e-10,4.2175432475973977e-06
-24.493632009478503,4.5899727060492985e-10,4.4706589444334255e-06
-24.468761783007221,5.0241076048764706e-10,4.7382164109109135e-06
-24.443891556535938,5.4976947106496678e-10,5.0209928481581904e-06
-24.419021330064655,6.0141625867493913e-10,5.3198044746416251e-06
-24.394151103593369,6.5772230098237964e-10,5.6355083233753198e-06
-24.369280877122087,7.1908930262062185e-10,5.9690041130283222e-06
-24.344410650650804,7.8595186092164533e-10,6.3212361955011825e-06
-24.319540424179522,8.587800023742955e-10,6.6931955826078884e-06
-24.294670197708236,9.3808190107898092e-10,7.0859220545664736e-06
-24.269799971236953,1.0244067911264464e-09,7.5005063530678102e-06
-24.24492974476567,1.1183480855200216e-09,7.9380924617592311e-06
-24.220059518294388,1.2205467149850911e-09,8.399879977046062e-06
-24.195189291823105,1.3316947007688563e-09,8.8871265721822106e-06
-24.170319065351819,1.4525389763275075e-09,9.4011505576882735e-06
-24.145448838880537,1.5838854736286003e-09,9.9433335412019697e-06
-24.120578612409254,1.7266034906647019e-09,1.0515123189935063e-05
-24.095708385937971,1.881630357680446e-09,1.1118036098975306e-05
-24.070838159466689,2.0499764205615309e-09,1.1753660768740289e-05
-24.045967932995403,2.2327303608202554e-09,1.2423660694956733e-05
