x,kde,ekf_gaussian
-33.636851898174839,4.2235889993745195e-10,5.2311406818581273e-20
-33.601902626928144,4.4844325081229287e-10,6.1590411814616159e-20
-33.566953355681449,4.7609240989837966e-10,7.2492697906831542e-20
-33.532004084434753,5.0539733496766349e-10,8.5298199591067247e-20
-33.497054813188065,5.3645409126656858e-10,1.0033441269121691e-19
-33.462105541941369,5.6936412753923681e-10,1.1798435099991045e-19
-33.427156270694674,6.04234566340174e-10,1.3869581271265534e-19
-33.392206999447978,6.4117850934069376e-10,1.629921686693676e-19
-33.357257728201283,6.803153583661271e-10,1.9148491813594204e-19
-33.322308456954588,7.2177115293508283e-10,2.2488829684181701e-19
-33.287359185707892,7.6567892510767571e-10,2.6403626704305479e-19
-33.252409914461204,8.1217907248684145e-10,3.0990227143161076e-19
-33.217460643214508,8.6141975025574825e-10,3.6362219282546885e-19
-33.182511371967813,9.1355728317455901e-10,4.2652103097578151e-19
-33.147562100721117,9.6875659850234258e-10,5.0014388792328209e-19
-33.112612829474422,1.0271916808535996e-09,5.862919457412164e-19
-33.077663558227727,1.089046050044869e-09,6.8706422707103847e-19
-33.042714286981038,1.1545132630346405e-09,8.04906051717353e-19
-33.007765015734343,1.2237974411096543e-09,9.426652441601001e-19
-32.972815744487647,1.2971138235222657e-09,1.1036573099631461e-18
-32.937866473240952,1.374689348838075e-09,1.2917409869171132e-18
-32.902917201994256,1.4567632653088089e-09,1.5114057930236845e-18
-32.867967930747561,1.543587771644352e-09,1.7678734423186049e-18
-32.833018659500866,1.6354286896187516e-09,2.0672152858598749e-18
-32.798069388254177,1.7325661700085343e-09,2.4164882644896971e-18
-32.763120117007482,1.8352954334279706e-09,2.8238922385252605e-18
-32.728170845760786,1.9439275476943089e-09,3.2989519945553986e-18
-32.693221574514091,2.0587902434282835e-09,3.8527277292740451e-18
-32.658272303267395,2.1802287696691333e-09,4.498058384184042e-18
-32.6233230320207,2.3086067913611409e-09,5.2498428638329321e-18
-32.588373760774004,2.4443073306493311e-09,6.1253649262873339e-18
-32.553424489527316,2.587733754005695e-09,7.1446684018553505e-18
-32.518475218280621,2.7393108072947528e-09,8.3309903906390916e-18
-32.483525947033925,2.899485700977283e-09,9.7112612296134886e-18
-32.44857667578723,3.0687292477462064e-09,1.1316681326420681e-17
-32.413627404540534,3.2475370549856132e-09,1.3183386453668846e-17
-32.378678133293839,3.4364307745461927e-09,1.5353214811300237e-17
-32.343728862047143,3.6359594124358269e-09,1.7874591126342106e-17
-32.308779590800455,3.8467007011339225e-09,2.0803545304158156e-17
-32.27383031955376,4.0692625373524573e-09,2.4204885713108225e-17
-32.238881048307064,4.3042844881840721e-09,2.8153550120672713e-17
-32.203931777060369,4.5524393687022354e-09,3.2736160655337875e-17
-32.168982505813673,4.8144348942044945e-09,3.805281300346276e-17
-32.134033234566978,5.0910154104231911e-09,4.4219134430777676e-17
-32.099083963320282,5.3829637051655652e-09,5.136865021982716e-17
-32.064134692073594,5.6911029049872365e-09,5.9655503823611471e-17
-32.029185420826899,6.0162984606521324e-09,6.925758254961794e-17
-31.994236149580203,6.3594602252837204e-09,8.0380108018113197e-17
-31.959286878333508,6.7215446292740279e-09,9.3259759109779939e-17
-31.924337607086812,7.1035569561797908e-09,1.0816940477291199e-16
-31.88938833584012,7.50655372400752e-09,1.2542353506101534e-16
-31.854439064593425,7.9316451764667353e-09,1.4538449130077088e-16
-31.81948979334673,8.3799978889533493e-09,1.6846961055493473e-16
-31.784540522100038,8.8528374942175685e-09,1.9515941577973401e-16
-31.749591250853342,9.3514515328667433e-09,2.2600700154671119e-16
-31.714641979606647,9.8771924340580961e-09,2.6164878620522755e-16
-31.679692708359951,1.0431480631949358e-08,3.0281682524345292e-16
-31.644743437113259,1.1015807823693246e-08,3.5035290774605088e-16
-31.609794165866564,1.1631740374989896e-08,4.0522468867973641e-16
-31.574844894619869,1.2280922879445063e-08,4.6854414475275064e-16
-31.539895623373177,1.2965081878227549e-08,5.4158868134412642e-16
-31.504946352126481,1.3686029746768754e-08,6.2582526310664766e-16
-31.469997080879786,1.4445668755508437e-08,7.229379920179719e-16
-31.435047809633094,1.5245995311961475e-08,8.3485961468038245e-16
-31.400098538386398,1.6089104391657638e-08,9.6380750644583613e-16
-31.365149267139703,1.6977194165794536e-08,1.1123247544769172e-15
-31.330199995893011,1.7912570833743267e-08,1.2833270462815908e-15
-31.295250724646316,1.8897653668853515e-08,1.4801561658576045e-15
-31.26030145339962,1.9934980286321673e-08,1.7066410077897311e-15
-31.225352182152925,2.1027212142217836e-08,1.9671671420781323e-15
-31.190402910906233,2.2177140273103975e-08,2.2667561009582882e-15
-31.155453639659537,2.3387691286029134e-08,2.6111557155474024e-15
-31.120504368412842,2.4661933609047266e-08,3.0069430071181942e-15
-31.08555509716615,2.6003084012781441e-08,3.4616413377404552e-15
-31.050605825919455,2.7414514413941429e-08,3.9838537508409561e-15
-31.015656554672759,2.889975897210023e-08,4.5834146871676225e-15
-30.980707283426064,3.0462521491450709e-08,5.2715625493563719e-15
-30.945758012179372,3.2106683139683203e-08,6.0611359128763845e-15
-30.910808740932676,3.3836310496567214e-08,6.9667965471676124e-15
-30.875859469685981,3.5655663945267706e-08,8.0052828234169203e-15
-30.840910198439289,3.7569206419897846e-08,9.1956975504148599e-15
-30.805960927192594,3.9581612523287014e-08,1.0559834803732216e-14
-30.771011655945898,4.1697778029435496e-08,1.2122550903277382e-14
