config_id,algorithm,n,epsilon,interval,step,trials,observed,rmse,prior_rmse,cumulative_rmse
bpf_n500_e0_m1,bpf,500,0,1,1,8,1,3.1160097063938172,8.1336209917343449,3.1160097063938172
bpf_n500_e0_m1,bpf,500,0,1,2,8,1,8.6165076130665668,10.397281182148335,6.4789551602235438
bpf_n500_e0_m1,bpf,500,0,1,3,8,1,1.4186656493006307,7.2757468652288626,5.353077998089204
bpf_n500_e0_m1,bpf,500,0,1,4,8,1,3.6160568567791396,3.5405617718785556,4.975997371189508
bpf_n500_e0_m1,bpf,500,0,1,5,8,1,4.1568070768043128,6.734279229472838,4.8233026947540836
bpf_n500_e0_m1,bpf,500,0,1,6,8,1,2.4360750684884955,6.1471949215733117,4.5139728651787667
bpf_n500_e0_m1,bpf,500,0,1,7,8,1,1.5794753692378123,5.1616752751134589,4.2215509778050961
bpf_n500_e0_m1,bpf,500,0,1,8,8,1,1.5456786567780938,8.1634839593476141,3.986533129134096
bpf_n500_e0_m1,bpf,500,0,1,9,8,1,4.3642713331183813,4.5971537131939106,4.0302527545021345
bpf_n500_e0_m1,bpf,500,0,1,10,8,1,13.22649685923863,12.349490880120543,5.6668038130325078
bpf_n500_e0_m1,bpf,500,0,1,11,8,1,2.5842888656629923,7.5727819684537243,5.4589809529817046
bpf_n500_e0_m1,bpf,500,0,1,12,8,1,2.2304517352481175,4.6409908137691573,5.2660874030477531
bpf_n500_e0_m1,bpf,500,0,1,13,8,1,4.1263820474069828,3.6262127654499077,5.1873154998858029
bpf_n500_e0_m1,bpf,500,0,1,14,8,1,0.69666921053383368,6.1917161535703364,5.0020888153173946
bpf_n500_e0_m1,bpf,500,0,1,15,8,1,8.7511310637161159,9.3811020755543399,5.334633946347612
bpf_n500_e0_m1,bpf,500,0,1,16,8,1,4.6390779868151926,6.7927067632547153,5.2938397848975001
bpf_n500_e0_m1,bpf,500,0,1,17,8,1,1.8530034951912842,7.9903494451787314,5.1554052539047559
bpf_n500_e0_m1,bpf,500,0,1,18,8,1,8.1352831389977887,7.7472454217829112,5.3645559430781438
bpf_n500_e0_m1,bpf,500,0,1,19,8,1,3.0541312415694319,5.6799438190949862,5.2682764885491773
bpf_n500_e0_m1,bpf,500,0,1,20,8,1,3.7304953417037949,4.7658115819311284,5.2021947365062884
bpf_n500_e0_m1,bpf,500,0,1,21,8,1,3.8920270880074903,7.7232092116590154,5.1473732384977486
bpf_n500_e0_m1,bpf,500,0,1,22,8,1,3.7195678191390407,6.3157754511212261,5.0911673118773848
bpf_n500_e0_m1,bpf,500,0,1,23,8,1,3.4645249433980108,10.108871257554094,5.0313910006342688
bpf_n500_e0_m1,bpf,500,0,1,24,8,1,2.0772952841844936,5.250562476679419,4.9436733556079693
bpf_n500_e0_m1,bpf,500,0,1,25,8,1,3.5351298930828809,10.327533421349328,4.8951195829631127
bpf_n500_e0_m1,bpf,500,0,1,26,8,1,5.0388057867829366,7.1600380938303285,4.9007238752777091
bpf_n500_e0_m1,bpf,500,0,1,27,8,1,4.2203436837467034,6.0914678321553026,4.8772174742237402
bpf_n500_e0_m1,bpf,500,0,1,28,8,1,5.8754294885782272,9.4936930911409565,4.9163590968202282
bpf_n500_e0_m1,bpf,500,0,1,29,8,1,2.8271709655546799,5.5061978683513013,4.8592937091342234
bpf_n500_e0_m1,bpf,500,0,1,30,8,1,2.3093344315136521,5.9961717477064056,4.7961872034422175
bpf_n500_e0_m1,bpf,500,0,1,31,8,1,7.4989500598075276,7.7109467505545197,4.9066663103451988
bpf_n500_e0_m1,bpf,500,0,1,32,8,1,5.0399442072323843,8.5189161547900678,4.910885995435895
